,Ticker,Fuente,Mínimo,Máximo,Actual,% Subida a Máx,País,PEG Ratio,P/E Ratio,P/B Ratio,ROE,ROIC,FCF Yield,Debt/Equity,EV/EBITDA,Dividend Yield,Beta,Contexto,Semáforo Riesgo
41,ENIC,Yahoo Finance,0.78,3.96,3.95,0.25,Chile,,35.590908,52.199997,0.04103,0.02151,,72.224,393.108,6.59,0.486,"Enel Chile S.A., an electricity utility company, engages in the generation, transmission, and distribution of electricity in Chile. It operates through Generation, and Distribution and Networks Segments. The company generates electricity through various sources, such as hydroelectric, solar, wind, thermal, and geothermal power plants; and distributes electricity in various municipalities of the Santiago metropolitan region. It serves residential, commercial, industrial, and other customers. The company was formerly known as Enersis Chile S.A. and changed its name to Enel Chile S.A. in October 2016. Enel Chile S.A. was incorporated in 2016 and is headquartered in Santiago, Chile. Enel Chile S.A. operates as a subsidiary of Enel S.p.A",VERDE
47,ENELCHILE.SN,Yahoo Finance,18.06,74,73.36,0.87,Chile,,33.6682,974.13324,0.04103,0.02151,,72.224,7201.627,1.43,0.486,"Enel Chile S.A., an electricity utility company, engages in the generation, transmission, and distribution of electricity in Chile. It operates through Generation, and Distribution and Networks Segments. The company generates electricity through various sources, such as hydroelectric, solar, wind, thermal, and geothermal power plants; and distributes electricity in various municipalities of the Santiago metropolitan region. It serves residential, commercial, industrial, and other customers. The company was formerly known as Enersis Chile S.A. and changed its name to Enel Chile S.A. in October 2016. Enel Chile S.A. was incorporated in 2016 and is headquartered in Santiago, Chile. Enel Chile S.A. operates as a subsidiary of Enel S.p.A",VERDE
123,ICICIBANK.NS,Yahoo Finance,100.95,1448.5,1430.6,1.25,India,,20.05907,3.2362664,0.18226999,0.0218,,,,0.7,0.475,"ICICI Bank Limited, together with its subsidiaries, engages in the provision of various banking and financial services to retail and corporate customers in India and internationally. The company operates through Retail Banking, Wholesale Banking, Treasury, Other Banking, Life Insurance, and Others segments. It accepts savings, salary, pension, current, trade, escrow, foreign currency, and vostro accounts, as well as time, fixed, recurring, and security deposits services. The company also provides home, car, two-wheeler, personal, gold, and commercial business loans, as well as loans against securities and other loans; business loans, including working capital finance, term loans, collateral free loans, loans without financials, finance for importers and exporters, and overdraft facilities, as well as loans for new entities and card swipes; and credit, debit, prepaid, travel, forex, and corporate cards. In addition, it offers pockets wallet; fixed income products; investment products, such as mutual funds, gold monetization schemes, initial public offerings, and other online investment services; and agri and rural business, farmer finance, tractor loans, and micro banking services. Further, the company provides portfolio management, trade, foreign exchange, locker, private and NRI banking, and cash management services; family wealth and demat accounts; commercial and investment banking, capital market, custodial, and institutional banking services; health, personal accident, fire, and motor insurance, as well as distributes general and life insurance products; and Internet, mobile, and phone banking services. Additionally, it offers securities investment, broking, trading, and underwriting services; and merchant banking, trusteeship, housing finance, pension fund management, asset management, investment advisory, points of presence, and private equity/venture capital fund management services. The company was founded in 1955 and is headquartered in Mumbai, India.",VERDE
3,BMA,Yahoo Finance,7.66,115.85,93,24.57,Argentina,,20.671862,0.014720908,0.076570004,0.022330001,,,,23.19,0.905,"Banco Macro S.A. provides various banking products and services to retail and corporate customers in Argentina. It offers various retail banking products and services, such as savings and checking accounts, time deposits, credit and debit cards, consumer finance loans, mortgage loans, automobile loans, overdrafts, credit-related services, home and car insurance coverage, tax collection, utility payments, automated teller machines, and money transfers. The company also provides personal loans, document discounts, residential mortgages, overdrafts, pledged loans, and credit card loans to retail customers. In addition, it offers corporate banking products and services, including deposits, lending, check cashing advances and factoring, guaranteed loans, credit lines for financing foreign trade, and cash management services; and trust, payroll, and financial agency services, as well as corporate credit cards and other specialty products; and working capital facilities, credit for investment projects, and leasing and foreign trade transactions. Further, the company provides transaction services, such as cash management, collection services, payments to suppliers, payroll services, foreign exchange transactions, and foreign trade services; information services comprising Datanet and Interpymes services to corporate customers; and Internet and mobile banking services. Additionally, it offers short-term and medium-to-long-term corporate lending products. Banco Macro S.A. was incorporated in 1966 and is headquartered in Buenos Aires, Argentina.",VERDE
83,AIR.PA,Yahoo Finance,10.82,171.82,161.1,6.66,Netherlands,,28.509804,5.7242045,0.21065001,0.023610001,,64.595,17.681,1.24,1.218,"Airbus SE, together with its subsidiaries, engages in the design, manufacture, and delivery of aeronautics  and aerospace products, services, and solutions worldwide. It operates through three segments: Airbus, Airbus Helicopters, and Airbus Defence and Space. The Airbus segment develops, manufactures, markets, and sells commercial jet passenger aircraft, freighter aircraft, regional turboprop aircraft, and aircraft components, as well as provides aircraft conversion and related services. The Airbus Helicopters segment develops, manufactures, markets, and sells civil and military helicopters; and provides helicopter-related services. The Airbus Defence and Space segment designs, develops, delivers, and supports manned and unmanned military air systems and related services. This segment also offers civil and defence space systems for telecommunications, earth observations, navigation, and science and orbital systems; missile and space launcher systems; and services around data processing from platforms, secure communication, and cyber security. The company was formerly known as Airbus Group SE and changed its name to Airbus SE in April 2017. The company was incorporated in 1998 and is headquartered in Leiden, the Netherlands.",AMARILLO
87,BMW.DE,Yahoo Finance,14.96,108.06,83.98,28.67,Germany,,7.8071833,0.5567726,0.071830004,0.02499,,112.437,9.122,5.12,0.939,"Bayerische Motoren Werke Aktiengesellschaft develops, manufactures, and sells automobiles and motorcycles, spare parts, and accessories worldwide. It operates through Automotive, Motorcycles, and Financial Services segments. The company offers automobiles under the BMW, MINI, and Rolls-Royce brands. It also develops, manufactures, and sells motorcycles for private use and special-purpose vehicles for operational use under the BMW Motorrad brand. In addition, the company provides car rentals; credit financing; leasing that include insurance and service products; financing for dealership and customer deposits; vehicle fleet financing services for corporate car fleets under the Alphabet brand; and financial services for the automotive sector. It sells its products through independent dealerships. Bayerische Motoren Werke Aktiengesellschaft was founded in 1916 and is headquartered in Munich, Germany.",VERDE
126,KOTAKBANK.NS,Yahoo Finance,167.3,2268.8,2115.6,7.24,India,,18.803019,2.6415355,0.15394,0.02686,,,,0.09,0.422,"Kotak Mahindra Bank Limited provides a range of banking and financial services to corporate and individual customers in India. It operates through Treasury, BMU and Corporate Centre; Retail Banking; Corporate / Wholesale Banking; Digital Banking; Other Retail Banking; Vehicle Financing; Other Lending Activities; Broking; Advisory and Transactional Services; Asset Management; and Insurance segments. The company offers savings, current, and salary accounts; fixed, recurring, tax saving fixed, senior citizen, and fixed deposit products; home, personal, business, payday, gold, education, commercial vehicle, car, and crop loans, as well as loan against securities and properties; construction equipment, farm equipment, healthcare, trade and supply chain, and working capital finance solutions; and prepaid, credit, and debit cards. It also provides Investment products; life, term, health, car, and two wheeler insurance; payment services; trade services; business management and marketing, enterprise resource planning, supply chain and logistics, human resource, business travel, workspace management, taxation and legal, and healthcare/medical equipment services; cash management services, such as digital payments, physical collections, digital collections, and payment gateways; private banking services; net banking; and NRI services. Kotak Mahindra Bank Limited was incorporated in 1985 and is based in Mumbai, India.",VERDE
54,SALFACORP.SN,Yahoo Finance,188.31,1181.41,689.9,71.24,Chile,,8.818868,0.73524636,0.08623,0.02757,,107.463,12.201,3.4,0.642,"SalfaCorp S.A. engages in engineering, construction, and real estate businesses in Chile and internationally. The company offers construction and industrial assembly, civil works construction, industrial maintenance, mining development, marine works, earthmoving, and drilling and blasting services, as well as undertakes engineering, procurement, and construction projects. It is also involved in real estate, commercial, and infrastructure activities; and development and rental of commercial and industrial projects. The company was founded in 1929 and is based in Santiago, Chile.",VERDE
2,SUPV,Yahoo Finance,1.22,30.33,15.95,90.13,Argentina,,15.019049,0.008391646,0.15952,0.02779,,,,1.07,1.036,"Grupo Supervielle S.A., a financial services holding company, provides various banking products and services in Argentina. The company operates through Personal & Business Banking, Corporate Banking, Bank Treasury, Insurance, and Asset Management and Other Services segments. It offers savings accounts, time and demand deposits, and checking accounts; various loan products, including personal, consumer, mortgage, unsecured, and car loans; overdrafts; loans with special facilities for project and working capital financing; and leasing, bank guarantees for tenants, salary advances, domestic and international factoring, international guarantees and letters of credit, payroll payment plans, credit and debit cards, and senior citizens benefit payment services, as well as financial services and investments, such as mutual funds and guarantees. The company also provides foreign trade and cash management; advisory services; treasury services; insurance products comprising life, home, personal accidents, technology, ATMs, protected bag, protected content, and integral insurance product for entrepreneurs and SME customers and other insurance policies; and asset management and other services, as well as operates as a digital online broker. It operates through a network of bank branches, ATMs, and self-service terminals, as well as cash dispensers with biometric identification systems. The company was formerly known as Inversiones y Participaciones S.A. and changed its name to Grupo Supervielle S.A. in November 2008. Grupo Supervielle S.A. was founded in 1887 and is based in Buenos Aires, Argentina.",AMARILLO
11,BYMA.BA,Yahoo Finance,2.4,531.96,393,35.36,Argentina,,16.764954,2.793296,-0.043070003,0.02826,,,4.482,11.12,0.357,"Bolsas y Mercados Argentinos S.A. operates as a stock exchange in Argentina. It offers investment access to organizations, companies, and the general public. The company provides primary placement, secondary negotiation, settlement, and delivery and payment of the traded securities; and the register of shareholders, safekeeping, and debt payment and allocation activities. It also offers brokers ranking, trading, transaction, clearing and settlement, and safekeeping and related services, as well as services for broker-dealer members. The company was founded in 2013 and is based in Buenos Aires, Argentina.",VERDE
26,ELET3.SA,Yahoo Finance,2.76,48.43,43.33,11.77,Brazil,,9.611111,0.63088953,0.088549994,0.028469998,,65.093,7.628,2.92,0.383,"Centrais Elétricas Brasileiras S.A. - Eletrobrás, through its subsidiaries, engages in the generation, transmission, and commercialization of electricity in Brazil. The company generates electricity through hydroelectric, thermoelectric, nuclear, wind, and solar plants. As of December 31, 2023, it owned and operated 44 hydroelectric plants with a total capacity of 42,293.5 megawatt (MW); 5 thermal plants, including coal and gas power generation units with a total installed capacity of 1,632 MW; and two nuclear power plants comprising Angra 1 with an installed capacity of 657 MW and Angra 2 with an installed capacity of 1350 MW. It also owns and operates 66,539.17 kilometers of transmission lines. The company was incorporated in 1962 and is based in Rio De Janeiro, Brazil.",VERDE
105,LI,Yahoo Finance,13.62,46.65,27.96,66.85,China,,27.342857,0.40663996,0.12199,0.02869,,22.917,-3.958,,0.94,"Li Auto Inc. operates in the energy vehicle market in the People's Republic of China. It designs, develops, manufactures, and sells premium smart electric vehicles. The company's product line comprises multi-purpose vehicles and sport utility vehicles. It offers sales and after sales management, and technology development and corporate management services, as well as manufacturing equipment. The company offers its products through online and offline channels. The company was formerly known as Leading Ideal Inc. and changed its name to Li Auto Inc. in July 2020. Li Auto Inc. was founded in 2015 and is headquartered in Beijing, the People's Republic of China.",VERDE
50,FALABELLA.SN,Yahoo Finance,1438.14,6006.61,4769,25.95,Chile,,19.419788,1.7122957,0.09458,0.02973,,67.936,13.108,1.1,0.88,"Falabella S.A. engages in the retail sale of clothing, accessories, home products, electronics, and beauty and other products in Chile, Peru, Colombia, Brazil, Mexico, Uruguay, and Argentina. It operates through Department Stores, Home Improvement, Supermarkets, Real Estate, Other Businesses, and Banking Business segments. The company operates department stores, which sells clothing and accessories, as well as products for the home, electronics, beauty products, and others under the Falabella brand; and hypermarkets and supermarkets format that offers food and other non-food products under the Tottus brand. It also sells building and home improvement products, including building materials, hardware, tools, kitchen accessories, bathroom, garden, and decoration products under the Sodimac brand. In addition, the company engages in the constructing and leasing of malls; and provision of financial services, such as CMR, insurance brokers, and banking, as well as manufacturing of textile. Falabella S.A. was founded in 1889 and is based in Santiago, Chile.",VERDE
91,BAYN.DE,Yahoo Finance,18.78,106.05,24.74,328.65,Germany,,,0.7010684,-0.07819,0.02999,,127.355,6.182,0.46,0.98,"Bayer Aktiengesellschaft operates as a life science company worldwide. The company operates through Pharmaceuticals, Consumer Health, and Crop Science segments. The Pharmaceuticals segment provides prescription products primarily for cardiology and women's health care; specialty therapeutics in the areas of oncology, hematology, and ophthalmology; and diagnostic imaging equipment and contrast agents, as well as cell and gene therapy. The Consumer Health segment markets nonprescription over-the-counter medicines, medical products, medicated skincare products, nutritional supplements, pain and cardiovascular risk prevention products, digestive health products, allergy products, and cold and cough products. The Crop Science segment offers chemical and biological crop protection products, improved plant traits, seeds, digital solutions, and pest and weed management products, as well as customer services for agriculture. It also engages in the breeding, propagation, and production/processing of seeds, including seed dressing. The company distributes its products through wholesalers, pharmacies and pharmacy chains, supermarkets, online and other retailers, and hospitals, as well as directly to farmers. Bayer Aktiengesellschaft was founded in 1863 and is based in Leverkusen, Germany.",VERDE
4,PAM,Yahoo Finance,2.85,94.88,83.73,13.32,Argentina,,7.1808696,36.394886,0.17531,0.030269999,,48.564,211.014,,,"Pampa Energía S.A. operates as an integrated power company in Argentina. The company operates through Oil and Gas; Generation; Petrochemicals; and Holding, Transportation and Others segments. It generates electricity through thermal plants, hydroelectric plants, and wind farms with a 5,472 megawatt (MW) installed capacity. The company also explores for and produces oil and gas in the provinces of Neuquén and Río Negro. In addition, it produces petrochemicals, such as styrene, synthetic rubber, and polystyrene. Further, the company operates and maintains a 22,396 km high-voltage electricity transmission network in Argentina. Additionally, it holds a concession for the transportation of natural gas with 9,248 km of gas pipelines in the center, west, and south of Argentina; and processes and sells natural gas liquids in Bahía Blanca in the Province of Buenos Aires, as well as offers related advisory services. The company was formerly known as Pampa Holding S.A. and changed its name to Pampa Energía S.A. in September 2008. Pampa Energía S.A. was incorporated in 1945 and is based in Buenos Aires, Argentina.",VERDE
53,PAM,Yahoo Finance,2.85,94.88,83.73,13.32,Argentina,,7.1808696,36.394886,0.17531,0.030269999,,48.564,211.014,,,"Pampa Energía S.A. operates as an integrated power company in Argentina. The company operates through Oil and Gas; Generation; Petrochemicals; and Holding, Transportation and Others segments. It generates electricity through thermal plants, hydroelectric plants, and wind farms with a 5,472 megawatt (MW) installed capacity. The company also explores for and produces oil and gas in the provinces of Neuquén and Río Negro. In addition, it produces petrochemicals, such as styrene, synthetic rubber, and polystyrene. Further, the company operates and maintains a 22,396 km high-voltage electricity transmission network in Argentina. Additionally, it holds a concession for the transportation of natural gas with 9,248 km of gas pipelines in the center, west, and south of Argentina; and processes and sells natural gas liquids in Bahía Blanca in the Province of Buenos Aires, as well as offers related advisory services. The company was formerly known as Pampa Holding S.A. and changed its name to Pampa Energía S.A. in September 2008. Pampa Energía S.A. was incorporated in 1945 and is based in Buenos Aires, Argentina.",VERDE
102,BIDU,Yahoo Finance,38.65,339.91,91.09,273.16,China,,10.253569,0.12240411,0.088520005,0.032,,27.969,6.204,,0.369,"Baidu, Inc. provides online marketing and non-marketing value added services through an internet platform in the People's Republic of China. It operates in two segments, Baidu Core and iQIYI. The Baidu Core segment offers search-based, feed-based, and other online marketing services; cloud services; and other products and services based on AI. This segment operates Baidu App that enables users to access search, feed, content, and other services through mobile devices; and Haokan, which allows users to upload, view, search, rate, share, favorite, comment, and follow, as well as offers a range of various user generated and professionally produced short videos. It also provides a portfolio of knowledge and information products, including Baidu Wiki, which features columns and videos, such as encyclopedia of intangible cultural heritage, digital museum and recorder of history; Baidu Knows, an online community where users can pose questions to other users, such as individuals, professionals, and enterprises; Baidu Experience, an online platform where users share daily knowledge and experience; ERNIE Bot; and Baidu Post, a social media that allows users to post text, image, audio and video content, and reply to original curation forming valuable discussion groups. In addition, the company offers Baidu Apollo auto solutions; DuerOS smart assistant for the Chinese language; Apollo Go autonomous ride-hailing service; online marketing services; Baidu Maps, a voice-enabled mobile app providing users with travel-related services; and AI chips. The iQIYI segment operates an online entertainment video platform that offers original, professionally produced, and professional user generated and user-generated content. The company was incorporated in 2000 and is headquartered in Beijing, the People's Republic of China.",VERDE
33,EMBR3.SA,Yahoo Finance,6.01,78.98,69.32,13.94,Brazil,,22.703583,2.7917967,0.12720999,0.033069998,,62.444,14.987,0.38,0.992,"Embraer S.A., together with its subsidiaries, designs, develops, manufactures, and sells aircraft and systems in North America, Latin America, the Asia Pacific, Brazil, Europe, and internationally. It operates through Commercial Aviation; Defense & Security; Executive Aviation; Services & Support; and Other segments. The Commercial Aviation segment develops, produces, and sells commercial jets. Its Defense & Security segment develops and produces military aircraft and radars; and is involved in research and development of software and integrated information systems, communications, border monitoring and surveillance, space systems/satellites, and aircraft modernization services and services support, as well as command, control, communications, computer, intelligence, surveillance, and reconnaissance systems. The Executive Aviation segment develops, produces, and sells executive jets. Its Service & Support segment provides field and technical support, flight operations solutions, aircraft modification, materials management, maintenance solutions, and training programs. The Other segment engages in the supply of structural parts and hydraulic systems; production of agricultural crop-spraying aircraft; development and certification of eVTOLs; creation of a maintenance and service network, and air traffic control system for eVTOLs; development and manufacture of electrical propulsion systems; cybersecurity; and software and technical products. It is also involved in leasing used aircraft; pilot, mechanic, and crew training; engineering services; retail trade, maintenance, and repair of computer products; information technology consulting, data processing, application service providers, and internet hosting; and fabrication of aircraft interiors. The company was formerly known as Embraer-Empresa Brasileira de Aeronáutica S.A. and changed its name to Embraer S.A. in November 2010. Embraer S.A. was incorporated in 1969 and is headquartered in São Paulo, Brazil.",VERDE
57,ENELAM.SN,Yahoo Finance,79.47,172.37,95,81.45,Chile,,15.321086,670.6993,0.054569997,0.03353,,34.575,3482.695,7.33,0.476,"Enel Américas S.A., together with its subsidiaries, generates, transmits, and distributes electricity in Brazil, Colombia, Central America, Argentina, and Peru. It operates through Generation & Transmission, and Distribution segments. The company generates electricity from hydro, wind, solar, and thermal plants. As of December 31, 2024, it had 12.9 GW megawatts of installed capacity. The company was formerly known as Enersis Américas S.A. and changed its name to Enel Américas S.A. in December 2016. Enel Américas S.A. was founded in 1889 and is based in Santiago, Chile. Enel Américas S.A. operates as a subsidiary of Enel SpA.",VERDE
58,COLBUN.SN,Yahoo Finance,49.78,181.6,153.77,18.1,Chile,,10.497614,814.8148,0.08686,0.034590002,,68.99,4523.818,4.55,-0.082,"Colbún S.A., together with its subsidiaries, operates as an electric energy generating company. The company engages in the production, transportation, transformation, distribution, and supply of energy, electricity, and natural gas. It offers renewable energy plants, photovoltaic, reservoir, and run-of-the-river hydroelectric power plants; solar photovoltaic projects; and thermal power plants, as well as energy management system, and electricity supply contract. The company also provides renewable certification, energy supply contract, energy management system, electric power upgrades, photovoltaic self-consumption, energy billing management, sustainable building certifications, electro-charger, online monitoring and control of energy consumption, energy audits, energy storage, heat pumps and air conditioning system, and automobile billing solutions. It serves various sectors, that includes mining; pulp, paper, wood, and cement; industry and manufacturing; agroindustry and food industry; fishery and aquaculture; sanitary; ports and harbours; commerce and retail; telecommunications; education; health; hospitality; warehousing and offices; and real estate and commercial building. The company was incorporated in 1986 and is headquartered in Santiago, Chile.",VERDE
9,MIRG.BA,Yahoo Finance,15.87,27600,24450,12.88,Argentina,,22.02488,14.233581,1.01003,0.035439998,,98.386,6.712,0.05,0.177,"Mirgor Sociedad Anónima, Comercial, Industrial, Financiera, Inmobiliaria y Agropecuaria manufactures and sells air conditioning equipment for automotive and agricultural businesses. The company operates through Automotive, Consumer Electronics and Telephony, Retail, Services, Agricultural, Steel Marketing, and Other segments. It offers air conditioning equipment and car radios; televisions and cell phones; and other electronic products. The company is also involved in the metallurgy business; markets cereals and oilseeds to export destinations; production of agriculture breeding and farming activities; manufactures and markets steel; retails cellphone, television, and other electronic products; and provision of storage, tire repair, logistics, technical service for repairing telephones, and other services. It operates in the Argentine Republic, the Eastern Republic of Uruguay, the Republic of Chile, Republic of Paraguay, the Dominican Republic, the Republic of Honduras, the Republic of Colombia, the Republic of Panama, the Republic of Ecuador, the Plurinational State of Bolivia, and the United States of America. Mirgor Sociedad Anónima, Comercial, Industrial, Financiera, Inmobiliaria y Agropecuaria was incorporated in 1971 and is based in Buenos Aires, Argentina.",VERDE
37,COGN3.SA,Yahoo Finance,0.96,19.63,2.96,563.11,Brazil,,5.9038463,0.4084076,0.08316,0.036229998,,51.307,6.772,9.02,0.432,"Cogna Educação S.A. operates as a private educational organization in Brazil and internationally. It operates through three segments: Kroton, Vasta, and Saber. The company provides on campus and distance-learning higher education, and undergraduate and graduate courses; and editing, marketing, and distribution of teaching books, educational materials, and workbooks. It offers basic education, pre-university preparatory courses, and language courses; educational solutions for technical and higher education; and complementary activities, such as education technology development for services to complement management and training. In addition, the company offers administration of kindergarten, elementary and high school activities; advises on and/or enables direct and indirect financing for students; and develops software for adaptive teaching and academic management optimization. The company was incorporated in 2001 and is headquartered in Belo Horizonte, Brazil.",VERDE
44,COPEC.SN,Yahoo Finance,4098.92,10462.81,6600,58.53,Chile,,,648.9828,0.087110005,0.037019998,,75.593,3337.822,4.85,0.567,"Empresas Copec S.A., together with its subsidiaries, operates in the natural resources and energy sectors in Chile and internationally. It operates through Celulosa Arauco y Constitución S.A.; Copec S.A.; Abastible S.A.; Pesquera Iquique-Guanaye S.A.; and Sociedad Nacional Oleoductos S.A. segments. The company offers electric charging services, renewable energy, and energy storage and efficiency solutions; and operates service stations and convenience stores. It also distributes liquid fuels, lubricants, liquefied gas, and natural gas; produces and sells kraft pulps, panels, and sawn timbers for the paper, construction, packaging, and furniture industries; transports gasoline, kerosene and diesel, and liquefied petroleum gas; and produces fishmeal, fish oil, and canned and frozen mussels. In addition, the company engages in the forestry, fishing, and mining businesses; sale of beans, rice, chickpeas, and lentils under the San José brand; distribution of general mills' products and processed avocado pears; investment in electromobility and start-ups involving energy, mobility, convenience, and other projects; and electricity generation and distribution from renewable energies. It exports its products to Asia and America. The company was incorporated in 1934 and is based in Santiago, Chile. Empresas Copec S.A. is a subsidiary of AntarChile S.A.",VERDE
65,TSLA,Yahoo Finance,1.05,479.86,334.07,43.64,United States,,195.47247,14.670553,0.087740004,0.03724,,17.407,83.898,,2.434,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive; and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, body shop and parts, supercharging, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners. This segment also provides services and repairs to its energy product customers, including under warranty; and various financing options to its residential customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas.",ROJO
121,RELIANCE.NS,Yahoo Finance,150.58,1595.48,1415.7,12.7,India,,27.8693,2.2861803,0.08402,0.03788,,36.605,13.459,0.35,0.402,"Reliance Industries Limited engages in hydrocarbon exploration and production, oil and chemicals, textile, retail, digital, material and composites, renewables, and financial services businesses worldwide. It operates through Oil to Chemicals, Oil and Gas, Retail, Digital Services, and Others segments. The company produces and markets petroleum products, such as liquefied petroleum gas, propylene, naphtha, gasoline, jet/aviation turbine fuel, kerosene oil, diesel, sulphur, and petroleum coke. It also provides petrochemicals, including high-density and low-density polyethylene (PE), linear low-density PE, polyester fibers and yarns, polypropylene, polyvinyl chloride, purified terephthalic acid, ethylene glycols and oxide, paraxylene, ortho xylene, benzene, linear alkyl benzene and paraffin, poly butadiene rubber, styrene butadiene rubber, butyl rubber, and polyethylene terephthalate. In addition, the company manufactures and markets yarns, fabrics, apparel, and auto furnishings; explores, develops, and produces crude oil and natural gas; and operates various stores comprising neighborhood, supermarket, hypermarket, wholesale cash and carry, specialty, online stores, as well as stores that offer apparel, beauty and cosmetics, accessories, footwear, consumer electronics, connectivity products, and others. Further, the company provides range of digital television, gaming, broadband, and telecommunication services under the Jio brand name; and non-banking financial and insurance broking services. Additionally, it operates news and entertainment platforms, and Network18 and television channels; publishes magazines; and offers highway hospitality and fleet management services. The company was founded in 1957 and is based in Mumbai, India.",VERDE
113,EDU,Yahoo Finance,8.52,194.85,48.94,298.14,China,,21.630436,2.1767666,0.09676,0.03821,,18.58,139.517,,0.245,"New Oriental Education & Technology Group Inc. provides private educational services under the New Oriental brand in the People's Republic of China. The company operates through four segments: Educational Services and Test Preparation Courses; Online Education and Other Services; Overseas Study Consulting Services; and Educational Materials and Distribution. It offers test preparation courses to students taking language and entrance exams used by educational institutions in the United States, the Commonwealth countries, and the People's Republic of China. The company also provides non-academic tutoring courses; intelligent learning systems and devices to offer a digital learning experience for students; and overseas studies consulting services. In addition, it offers online education services through the Koolearn.com platform. Further, the company develops and edits educational materials for language training and test preparation. In addition, it offers educational programs, services, and products to students through schools; learning centers; and bookstores, as well as through its online learning platforms. The company was founded in 1993 and is headquartered in Beijing, the People's Republic of China.",VERDE
81,SIEGY,Yahoo Finance,26.09,129.67,125.15,3.61,Germany,,23.954111,1.657713,0.14071,0.03898,,76.939,11.963,2.17,1.133,"Siemens Aktiengesellschaft, a technology company, focuses in the areas of automation and digitalization in Europe, Commonwealth of Independent States, Africa, the Middle East, the Americas, Asia, and Australia. It operates through Digital Industries, Smart Infrastructure, Mobility, Siemens Healthineers, and Siemens Financial Services (SFS) segments. The Digital Industries segment provides automation systems and software for factories, numerical control systems, servo motors, drives and inverters, and integrated automation systems for machine tools and production machines; process control systems, machine-to-machine communication products, sensors and radio frequency identification systems; software for production and product lifecycle management, and simulation and testing of mechatronic systems; and the Mendix cloud-native low-code application development platform. The Smart Infrastructure segment offers products, systems, solutions, services, and software to support sustainable transition in energy generation from fossil and renewable sources; sustainable buildings and communities; and buildings, electrification, and electrical products. The Mobility segment provides rail passenger and freight transportation, such as metro systems, trams and light rail, and commuter trains, as well as trains and passenger coaches; locomotives and solutions for automated transportation and leasing; products and solutions for rail automation; maintenance and digital services; and digital and cloud-based solutions, and related services. The Siemens Healthineers segment develops, manufactures, and sells various diagnostic and therapeutic products and services; and provides clinical consulting and training services. The SFS segment offers debt and equity investments; leasing, lending, and working capital, structured, equipment, and project financing; and financial advisory services. Siemens Aktiengesellschaft was founded in 1847 and is headquartered in Munich, Germany.",AMARILLO
1,YPF,Yahoo Finance,2.57,46.99,35.91,30.85,Argentina,,8.324009,0.0011696928,0.21733,0.03954,,81.869,2.231,,0.71,"YPF Sociedad Anónima, an energy company, engages in the oil and gas upstream and downstream activities in Argentina. Its upstream operations include the exploration, exploitation, and production of crude oil, and natural gas. The company's downstream operations include petrochemical production and crude oil refining; transportation and distribution of refined and petrochemical products; commercialization of crude oil, petrochemical products, and specialties. Its gas and power operations include transportation, commercialization, and distribution of natural gas; commercial and technical operation of regasification terminals; transportation, conditioning, processing, and separation of natural gas; and power generation. The company had interests in oil and gas fields. It also had a retail distribution network and retail service stations. In addition, the company owns and operates refineries, as well as maintains terminal facilities Argentine ports. Further, it participates in power generation plants; offers diesel, fertilizers, lubricants, phytosanitary products, and ensiling bags; and supplies diesel, gasoline, fuel oil, coal, asphalts, paraffin, and sulfur, CO2, decanted oil, and aromatic extract. The company was incorporated in 1977 and is based in Buenos Aires, Argentina.",VERDE
131,BAJFINANCE.NS,Yahoo Finance,25.29,9310.33,9042,2.97,India,,33.814934,5.8148284,0.19108,0.03986,,292.998,,0.49,0.743,"Bajaj Finance Limited operates as a deposit-taking non-banking financial company in India. The company offers consumer finance products comprising durable, lifestyle, and digital products; EMI cards; two and three-wheeler, and personal loans; loans against fixed deposit; home and gold loans; and extended warranties, retail EMIs, consumer electronics, furniture, e-commerce, and co-branded credit cards and wallets. It also provides secured and unsecured loans to micro, small, and medium enterprises (MSMEs) and SMEs; loans against property, mutual funds, insurance policies, and shares; lease rental discounting, business and professional loans, working capital loans, and term loans; developer finance; and new and used car, and tractor financing. In addition, the company offer commercial and rural lending; public and corporate deposits; loans against securities; and various investment services, including demat services, broking, and margin trade financing. Further, it distributes life, health, and general insurance products. The company was formerly known as Bajaj Auto Finance Limited and changed its name to Bajaj Finance Limited in September 2010. The company was incorporated in 1987 and is based in Pune, India. Bajaj Finance Limited is a subsidiary of Bajaj Finserv Ltd.",VERDE
