,Semáforo Riesgo,Ticker,Fuente,Mínimo,Máximo,Actual,% Subida a Máx,País,PEG Ratio,P/E Ratio,P/B Ratio,ROE,ROIC,FCF Yield,Debt/Equity,EV/EBITDA,Dividend Yield,Beta,Contexto
102,VERDE,BIDU,Yahoo Finance,38.65,339.91,91.09,273.16,China,0.1,10.209661,0.12187995,0.088520005,0.032,88.02,27.969,6.204,,0.369,"Baidu, Inc. ofrece servicios de valor agregado de marketing en línea y no comercialización a través de una plataforma de Internet en la República Popular de China. Funciona en dos segmentos, Baidu Core e Iqiyi. El segmento central de Baidu ofrece servicios de marketing en línea basados ​​en la búsqueda, basados ​​en la alimentación y otros; servicios en la nube; y otros productos y servicios basados ​​en IA. Este segmento opera la aplicación Baidu que permite a los usuarios acceder a la búsqueda, alimentación, contenido y otros servicios a través de dispositivos móviles; y Haokan, que permite a los usuarios cargar, ver, buscar, calificar, compartir, favoritos, comentarios y seguir, así como ofrece una gama de diversos videos cortos generados por los usuarios y producidos profesionalmente. También proporciona una cartera de productos de conocimiento e información, incluido Baidu Wiki, que presenta columnas y videos, como Enciclopedia de Patrimonio Cultural Intimable, Museo Digital y Registro de Historia; Baidu sabe, una comunidad en línea donde los usuarios pueden plantear preguntas a otros usuarios, como individuos, profesionales y empresas; Baidu Experience, una plataforma en línea donde los usuarios comparten conocimiento y experiencia diaria; Ernie Bot; y Baidu Post, una red social que permite a los usuarios publicar texto, imagen, contenido de audio y video, y responder a la curación original formando valiosos grupos de discusión. Además, la compañía ofrece Baidu Apollo Auto Solutions; Asistente inteligente de Dueros para el idioma chino; Apolo Go Service autónomo de transporte; servicios de marketing en línea; Baidu Maps, una aplicación móvil habilitada para la voz que proporciona a los usuarios servicios relacionados con los viajes; y chips de ai. El segmento IQIYI opera una plataforma de video de entretenimiento en línea que ofrece contenido original, producido profesionalmente y generado por los usuarios profesionales y generado por los usuarios. La compañía se incorporó en 2000 y tiene su sede en Beijing, la República Popular de China."
13,VERDE,AUSO.BA,Yahoo Finance,0.23,3990,3055,30.61,Argentina,,,1.1333269,-0.32766,0.06126,12.33,,5.101,,0.372,"Autopistas del Sol SA participa en la construcción, expansión, remodelación, preservación, mejora, operación y administración de carreteras. Opera el acceso norte, una carretera de 95 kilómetros que conecta la ciudad autónoma de Buenos Aires con los suburbios en las zonas costeras norte y cercanas; y la autopista General Paz Beltway, una sección de peaje de 24 kilómetros de la carretera de anillo primaria que rodea la ciudad autónoma de Buenos Aires. La compañía se incorporó en 1994 y tiene su sede en Buenos Aires, Argentina."
28,VERDE,WEGE3.SA,Yahoo Finance,1.7,58,44,31.82,Brazil,1.8,29.563757,8.684937,0.32733002,0.14083,0.68,17.987,21.14,0.95,0.377,"Weg S.A. se dedica a la producción y venta de bienes de capital en Brasil e internacionalmente. La compañía ofrece motores eléctricos, generadores y transformadores; Unidades de engranajes y motores engranados; Turbinas hidráulicas y de vapor; convertidores de frecuencia; entrantes de motor y dispositivos de maniobra; control y protección de circuitos eléctricos para la automatización industrial; enchufes e interruptores eléctricos; y soluciones de tracción eléctrica para vehículos pesados, vehículos SUV, locomotoras y bienes de capital de transporte marítimo. Proporciona soluciones para la generación de energía renovable y distribuida a través de centrales hidroeléctricas, térmicas, de biomasa, eólica y de energía solar; soluciones para la industria; UPSS y alternadores para grupos de generadores; subestaciones eléctricas convencionales y móviles; Sistemas eléctricos y electrónicos industriales; pintura industrial y barniz; y pinturas para el repintado automotriz. Weg S.A. fue fundada en 1961 y tiene su sede en Jaraguá do Sul, Brasil. Weg S.A. opera como una subsidiaria de Weg Participações E Serviços S.A."
19,VERDE,INVJ.BA,Yahoo Finance,1.26,599.5,303.5,97.53,Argentina,,,0.9000187,0.0127,0.057210002,-8.54,36.873,10.013,,0.378,"Inversora Juramento S.A. opera como una empresa agrícola y ganadera en la región noroeste de Argentina. La compañía se dedica a la producción, industrialización, marketing y venta de carne y productos agrícolas. Sus productos agrícolas incluyen soja, sorgo, alfalfa, pastos y maíz. La compañía tiene aproximadamente 89,504 hectáreas de tierra ubicadas en la provincia de Salta. También exporta sus productos. La compañía fue fundada en 1990 y tiene su sede en Salta, Argentina."
129,VERDE,ASIANPAINT.NS,Yahoo Finance,155.23,3497.63,2324.6,50.46,India,-1.33,59.496872,11.277858,0.18792,0.103240006,0.64,11.418,36.248,1.07,0.381,"Asian Paints Limited, junto con sus subsidiarias, se involucra en la fabricación, venta y distribución de pinturas, recubrimientos y productos relacionados con la decoración del hogar y los accesorios de baño en Asia, Oriente Medio, África y la Región del Pacífico Sur. La compañía ofrece coberturas de pared; texturas pintando ayudas; productos de impermeabilización; pegatinas de pared; herramientas mecanizadas; adhesivos; cocinas modulares y armarios; accesorios de baño y sanitarios; productos de iluminación decorativa; telas, muebles, muebles y alfombras; y ventanas de cloruro de polivinilo no plásticas y sistemas de puerta, así como diseño de interiores personalizado, pintura segura y servicios de consultoría de color. También proporciona acabados interiores y de pared exterior, acabados de madera, esmaltes, herramientas, abrigos, adelgazantes y barniceros. La compañía ofrece sus productos bajo las pinturas asiáticas, las pinturas SCIB, los recubrimientos APCO, las pinturas asiáticas Berger, Taubman, Asian Paints Causeway y Kadisco Asian Paints Brands a través de una red de distribuidores y tiendas minoristas, así como opera AsianPaints.com, una tienda en línea. Asian Paints Limited fue fundada en 1942 y tiene su sede en Mumbai, India."
26,VERDE,ELET3.SA,Yahoo Finance,2.76,48.43,43.33,11.77,Brazil,1.64,9.54,0.62622166,0.088549994,0.028469998,3.29,65.093,7.628,2.92,0.383,"Centrais Elétricas Brasileiras S.A. - Eletrobrás, a través de sus subsidiarias, se involucra en la generación, transmisión y comercialización de la electricidad en Brasil. La compañía genera electricidad a través de plantas hidroeléctricas, termoeléctricas, nucleares, eólicas y solares. Al 31 de diciembre de 2023, poseía y operaba 44 plantas hidroeléctricas con una capacidad total de 42,293.5 megavatios (MW); 5 plantas térmicas, incluidas unidades de generación de energía de carbón y gas con una capacidad instalada total de 1,632 MW; y dos centrales nucleares que comprenden Angra 1 con una capacidad instalada de 657 MW y Angra 2 con una capacidad instalada de 1350 MW. También posee y opera 66,539.17 kilómetros de líneas de transmisión. La compañía se incorporó en 1962 y tiene su sede en Río de Janeiro, Brasil."
138,VERDE,HINDUNILVR.NS,Yahoo Finance,169.56,3005.73,2360,27.36,India,-14.02,51.875965,11.186518,0.21124001,0.106520005,1.92,3.322,36.556,2.03,0.386,"Hindustan Unilever Limited, una buena empresa de consumo de rápido movimiento, fabrica y vende alimentos, atención domiciliaria, cuidado personal y productos de refrigerio en India e internacionalmente. La compañía opera a través del cuidado del hogar, la belleza y el cuidado personal, los alimentos y el refrigerio, y otros segmentos. El segmento de atención domiciliaria se involucra en barras y polvos de detergentes, líquidos de detergente, colchonetas, negocios de agua, negocios de purificadores, etc. El segmento de belleza y cuidado personal proporciona productos orales, de piel y cuidado del cabello; y jabones, desodorantes, polvo de talco, cosméticos de color, servicios de salón, etc. El segmento de alimentos y refrescos proporciona productos culinarios, incluidos productos a base de tomate, productos a base de frutas, sopas, etc. y té, café, bebidas nutricionales, helados y postres congelados. Los otros segmentos se involucran en actividades, como exportación, consignación, etc. La Compañía también está involucrada en el trabajo de trabajo, bienes raíces y alta las empresas de fideicomiso. La compañía fue fundada en 1888 y tiene su sede en Mumbai, India."
128,VERDE,SUNPHARMA.NS,Yahoo Finance,127.83,1937.03,1700,13.94,India,2.38,35.758842,5.916438,,,,3.707,26.809,0.91,0.387,"Sun Pharmaceutical Industries Limited, una compañía farmacéutica genérica, desarrolla, fabrica y comercializa formulaciones genéricas y genéricas e ingredientes farmacéuticos activos (API) en India e internacionalmente. La compañía ofrece formulaciones en diversas áreas terapéuticas, que incluyen el sistema nervioso central, la dermatología, la cardiología, la oncología, la neuropsiquiatría, la gastroenterología, la antiinfectiva, la diabetología, el dolor/analgésicos, las vitaminas/minerales/nutrientes, la respiratoria, la ginecología, la urología, la ophtalmología, la otopedia, la nefrología, el dental, y otras áreas. Proporciona API para los cánceres, péptidos, esteroides, hormonas y fármacos inmunosupresores. Además, la compañía ofrece medicamentos genéricos, como tabletas, cápsulas, inyectables, inhaladores, ungüentos, cremas y líquidos; Medicamentos especializados y medicamentos antirretrovirales, así como productos de venta libre. La compañía fue fundada en 1983 y tiene su sede en Mumbai, India."
23,VERDE,BBDC4.SA,Yahoo Finance,4.75,21.2,15.22,39.3,Brazil,0.25,9.053572,0.9435483,0.112670004,0.0094800005,,,,1.5,0.388,"Banco Bradesco S.A., junto con sus subsidiarias, proporciona varios productos y servicios bancarios a individuos, empresas y empresas en Brasil e internacionalmente. La compañía opera a través de dos segmentos, banca y seguro. Proporciona cuentas actuales, de ahorro, clic y salariales; Crédito inmobiliario, financiamiento de vehículos, préstamos de nómina, préstamos hipotecarios, microcrédito, arrendamiento y crédito personal y a plazos; préstamos de sobregiro y agronegocios; tarjetas de débito y presentación; servicios financieros y de seguridad; productos de consorcio; automóvil, accidente personal, dental, viajes y seguros de vida; productos de inversión; productos de pensión; Servicios de cambio de divisas; bonos de capitalización; y servicios de banca por Internet. La compañía fue fundada en 1943 y tiene su sede en Osasco, Brasil."
121,VERDE,RELIANCE.NS,Yahoo Finance,150.58,1595.48,1415.7,12.7,India,11.61,27.8693,2.2861803,0.08402,0.03788,-0.24,36.605,13.53,0.35,0.402,"Reliance Industries Limited se involucra en exploración y producción de hidrocarburos, petróleo y productos químicos, textiles, minoristas, digitales, materiales y compuestos, renovables y empresas de servicios financieros en todo el mundo. Opera a través de petróleo a productos químicos, petróleo y gas, minoristas, servicios digitales y otros segmentos. La compañía produce y comercializa productos de petróleo, como gas licuado de petróleo, propileno, nafta, gasolina, combustible de turbina de chorro/aviación, aceite de queroseno, diesel, azufre y coca de petróleo. It also provides petrochemicals, including high-density and low-density polyethylene (PE), linear low-density PE, polyester fibers and yarns, polypropylene, polyvinyl chloride, purified terephthalic acid, ethylene glycols and oxide, paraxylene, ortho xylene, benzene, linear alkyl benzene and paraffin, poly butadiene rubber, styrene caucho de butadieno, goma de butilo y tereftalato de polietileno. Además, la compañía fabrica y comercializa hilos, telas, ropa y muebles de automóviles; explora, desarrolla y produce petróleo crudo y gas natural; y opera varias tiendas que comprenden vecindad, supermercado, hipermercado, efectivo y acarreo al por mayor, especialidad, tiendas en línea, así como tiendas que ofrecen ropa, belleza y cosméticos, accesorios, calzado, electrónica de consumo, productos de conectividad y otros. Además, la compañía ofrece servicios de televisión digital, juegos, banda ancha y telecomunicaciones bajo la marca Jio; y servicios de corrección financiera y de seguros no bancarias. Además, opera plataformas de noticias y entretenimiento, y Network18 y canales de televisión; publica revistas; y ofrece servicios de hospitalidad y gestión de flotas de carreteras. La compañía fue fundada en 1957 y tiene su sede en Mumbai, India."
79,VERDE,NESN.SW,Yahoo Finance,29.96,115.35,85.07,35.59,Switzerland,-3.51,20.331743,6.1019983,0.3058,0.07323,3.4,173.221,15.147,3.59,0.407,"Nestlé S.A., junto con sus subsidiarias, opera como una empresa de alimentos y bebidas. La compañía opera a través de la zona de América del Norte; Zona de Europa; Zona Asia, Oceanía y África; Zona de América Latina; Zona Gran China; Nespresso; y segmentos de ciencias de la salud de Nestlé. Ofrece alimentos para bebés debajo de las marcas Cerelac, Gerber, Nido y Naturnes; agua embotellada bajo las marcas Nestlé Pure Life, Perrier, Vittel, Buxton, Erikli y S.Pellegrino; Cereales bajo las marcas de cereales de fitness, Nesquik, Cheerios y Lion; y productos de chocolate y confitería bajo Kitkat, Smarties, Aero, Nestlé Les Recettes de L'Atelier, Milkybar, Baci Perugina, calidad de calidad y fitness. La compañía ofrece productos de café bajo las marcas de Nescafé, Nespresso, Nescafé Dolce Gusto, Starbucks Coffee at Home y Blue Bottle Bottle Coffee Brands; Alimentos culinarios, refrigerados y congelados debajo de las marcas de Maggi, Digiorno, Thomy, Garden Gourmet, Sweet Earth, Hot Pockets, Stouffer's, Buitoni, Lean y Life Cuisine; productos lácteos bajo las marcas de clavel, nido, oso, café y el compañero de café y la Laitière; y bebidas bajo las marcas Nesquik, Nestea, Nescafé y Milo. Además, ofrece productos de servicio de alimentos bajo las marcas de Milo, Nescafé, Maggi, Chef, Nestea, Stouffer's, Chef-Mate, Minor's y Lean Cuisine; Productos de nutrición de la salud bajo el impulso, el jardín de la vida, la recompensa de la naturaleza, la persona, las proteínas vitales, las marcas Solgar, el peptameno, los recursos, el Vitaflo, el impacto y el complemento; Productos de helados bajo el Pick Moben, Häagen-Dazs, Nestlé Ice Cream y Extrême Brands; y productos para el cuidado de mascotas bajo el Purina, One, Alpo, Felix, Pro Plan, Cat Chow, Fancy Feast, Bakers, Friskies, Dog Chow, Beneful y Gourmet Brands. La compañía fue fundada en 1866 y tiene su sede en Vevey, Suiza."
75,VERDE,PG,Yahoo Finance,38.36,177.5,158.73,11.83,United States,62.9,25.15873,7.2170115,0.30294,0.10977,3.4,64.975,16.465,2.66,0.411,"La compañía Procter & Gamble se involucra en la provisión de bienes de consumo de marca en todo el mundo. La compañía opera a través de cinco segmentos: belleza; Aseo; Cuidado de la salud; Cuidado de tela y hogar; y bebé, cuidado femenino y familiar. El segmento de belleza ofrece acondicionadores, champús, ayudas de estilo y tratamientos debajo de la cabeza y los hombros, las esencias herbales, la pantena y regocijado las marcas; y antitranspirantes y desodorantes, limpieza personal y productos para el cuidado de la piel bajo las marcas Olay, Old Spice, Safeguard, Secret, SK-II y nativas. El segmento de aseo proporciona cuchillas y maquinillas de afeitar, productos de afeitado, electrodomésticos y otros productos de aseo bajo las marcas Braun, Gillette y Venus. El segmento de atención médica ofrece cepillos de dientes, pastas de dientes y otros productos de atención oral bajo las marcas Crest y Oral-B; y gastrointestinal, alivio del dolor, diagnóstico rápido, respiratorios, vitaminas/minerales/suplementos, y otros productos de atención médica personal bajo las marcas metamucil, neurobion, pepto-bismol y vicks. El segmento de Fabric & Home Care proporciona potenciadores de telas, aditivos de lavandería y detergentes de lavandería debajo de las marcas Ariel, Downy, Gain y Tide; y el cuidado del aire, el cuidado de platos, los productos profesionales de P&G y el cuidado de la superficie bajo las marcas Cascade, Dawn, Faebreze, Mr. Clean y Swiffer. El segmento de cuidado del bebé, femenino y familiar ofrece toallitas para bebés y pañales y pantalones grabados bajo las marcas Luvs y Pampers; Productos de incontinencia de adultos y cuidado femenino bajo las marcas siempre, siempre discretas y tampax; y toallas de papel, tejidos y papeles para el baño bajo las marcas Bounty, Charmin y Puffs. Venta sus productos principalmente a través de comerciantes masivos, comercio electrónico, tiendas de comestibles, tiendas de clubes de membresía, farmacias, tiendas departamentales, distribuidores, mayoristas, tiendas de belleza especializadas, tiendas de alta frecuencia, farmacias, tiendas de electrones y canales profesionales, así como directamente a los consumidores. La compañía fue fundada en 1837 y tiene su sede en Cincinnati, Ohio."
32,VERDE,SUZB3.SA,Yahoo Finance,12.68,70.39,53.05,32.69,Brazil,,,1.7029033,-0.02202,0.06018,1.89,254.035,6.2,3.8,0.413,"Suzano S.A. produce y vende productos de pulpa y papel de eucalipto en Brasil e internacionalmente. Funciona en dos segmentos, pulpa y papel. La compañía ofrece documentos de impresión y escritura recubiertos y sin recubrimiento, petróleo, documentos de tejido y pulpas de mercado y pelusa; y lignina. También se involucra en la investigación, desarrollo y producción de biocombustibles; operación de terminales de puerto; negocio de generación de energía y distribución; comercialización de equipos y piezas; industrialización, comercialización y exportación de productos pulp; actividades de transporte de carga de carretera; Actividades de investigación y desarrollo de biotecnología; industrialización y comercialización de celulosa, microfibra celulosa, papel y productos de cartón; y comercialización de materiales de papel y computadora. Además, la compañía participa en la oficina comercial, el empaque de producción, el capital de riesgo corporativo y las actividades de recaudación de fondos financieros; desarrollo y producción de fibras, hilos y filamentos textiles basados ​​en celulosa, así como pulpas nanocristalinas; restauración, conservación y preservación de bosques; e investigación de materias primas para la industria textil. Suzano S.A. fue conocido anteriormente como Suzano Papel E Celulosa S.A. y cambió su nombre a Suzano S.A. en abril de 2019. La compañía fue fundada en 1924 y tiene su sede en Salvador, Brasil."
120,VERDE,TCS.NS,Yahoo Finance,267.87,4531.87,3515,28.93,India,-15.55,26.42958,13.550087,0.52164,0.25389,2.51,9.807,18.845,1.71,0.413,"Tata Consultancy Services Limited proporciona tecnología de la información (TI) y habilitó servicios en América, Europa, India e internacionalmente. Opera a través de la banca, los servicios financieros y el seguro; Fabricación; Negocio de consumo; Comunicación, medios y tecnología; Ciencias de la vida y atención médica; y otros segmentos. La compañía proporciona TCS ADD, un conjunto de plataformas tecnológicas para la investigación clínica y el desarrollo de medicamentos; TCS Bancs, una plataforma de servicios financieros; TCS BFSI Platforms, un servicio nativo de nube en la nube que ayuda a las instituciones financieras y las empresas de seguros; TCS Chroma, una solución de gestión de la fuerza laboral basada en la nube; Soluciones de inteligencia e información del cliente; TCS ERP en Cloud, una plataforma de Servicios y Aplicaciones ERP alojadas; TCS HOBS, una plataforma centrada en el catálogo nativo de la nube para la personalización de productos y procesos; e Ignio, un software empresarial autónomo. También ofrece un intercambio urbano inteligente TCS para las ciudades inteligentes y la solución de las empresas; TCS Omnistore, una plataforma de comercio minorista; TCS Optumera, una plataforma de inteligencia estratégica relacionada con el comercio minorista; TCS Tap, una oferta de adquisiciones; TCS MasterCraft, una plataforma de productos de automatización inteligente; Quartz: los Ledgers inteligentes, una solución de blockchain; Jile, una herramienta empresarial de planificación y entrega ágil; TCS ION, un modelo de IT-as-Service que proporciona soluciones comerciales; y TCS Twinx, una plataforma Twin Digital Enterprise. Además, la compañía ofrece nube, negocios cognitivos, consultoría, ciberseguridad, datos y análisis, soluciones empresariales, Internet de las cosas e ingeniería digital, TCS interactivos y servicios de sostenibilidad. Sirve banca; mercados de capitales; bienes de consumo y distribución; Comunicaciones, medios y servicios de información; educación; energía, recursos y servicios públicos; cuidado de la salud; Alta tecnología; seguro; Ciencias de la vida; fabricación; servicios públicos; minorista; y industrias de viajes y logística. La compañía fue fundada en 1968 y tiene su sede en Mumbai, India. Tata Consultancy Services Limited es una subsidiaria de Tata Sons Private Limited."
133,VERDE,ULTRACEMCO.NS,Yahoo Finance,783.79,12237,11661,4.94,India,5.74,56.87278,4.855718,0.09003,0.045539998,0.08,32.618,29.127,0.6,0.413,"Ultratech Cement Limited, junto con sus subsidiarias, se involucra principalmente en la fabricación y venta de clinker, cemento y productos relacionados en la India. La compañía ofrece productos ordinarios de Portland, Portland Pozzolana, Composite, Portland Slag, Water-Repelent y White Cement; Pastería de cuidado de pared, y concretos especializados y mixtos; bloques de concreto; y morteros de mezcla seca, como aglutinantes de baldosas y mármol, yesos y morteros, lechadas industriales y de precisión, y reglas de pisos, así como materiales de reparación y rehabilitación. También proporciona sistemas de impermeabilización, que incluyen productos de impermeabilización líquidos y cementosos; y se involucra en la generación de electricidad a través de plantas eólicas y solares. Además, la compañía opera tiendas minoristas bajo la marca de la tienda experta de Home Ultratech que vende materiales de construcción, como barras de acero TMT, pinturas, soluciones y tratamientos de impermeabilización, tableros de rutas y accesorios, madera contrachapada, transporte de capas, herramientas de alimentación y manual, PVC Pipes, sanitarios, láminas y techos de techo de techo de techo y techos de almacenamiento de agua, como materiales de pizarra, como materiales de pizarra, margen, estemitaciones de margen, yeitas, yeitas, y topos. Opera laboratorios de concreto móvil que ofrece evaluación técnica en el suelo de materiales de construcción; y proporciona servicios de Vastu, control de plagas y pruebas de agua, así como préstamos para el hogar. Ofrece sus productos bajo Ultratech, EnvirOplus, Décor, MaxSheen, Durafacad, Anterior, Ifloors, Zip, Aquaseal, Thermocon+, Firesafe, Rapid, Freeflow+, Corrropotect, Duraplus y Litecon Brands. La compañía exporta sus productos a los Emiratos Árabes Unidos, Bahrein y Sri Lanka. Ultratech Cement Limited se incorporó en 2000 y tiene su sede en Mumbai, India. Ultratech Cement Limited opera como una subsidiaria de Grasim Industries Limited."
17,VERDE,RMBI,Yahoo Finance,7.48,15.85,14.25,11.26,United States,-0.96,16.179775,1.0577346,0.068179995,0.00596,,,,4.21,0.415,"Richmond Mutual Bancorporation, Inc. opera como la compañía bancaria para First Bank Richmond que brinda varios servicios bancarios en Cambridge City. Acepta varios depósitos, incluidas cuentas de depósito de ahorro, cuentas del mercado monetario, ahora y cuentas de demanda, y certificados de depósito. La compañía también ofrece una gama de productos de préstamo, como préstamos inmobiliarios multifamiliares y comerciales, préstamos comerciales e industriales, préstamos de construcción y desarrollo, préstamos inmobiliarios residenciales y préstamos de consumo. Además, se involucra en el negocio de financiamiento de arrendamiento; y la provisión de servicios financieros basados ​​en tarifas que comprenden la administración de fideicomisos y la administración de bienes, la administración de inversiones, la administración del plan de jubilación y los servicios de banca privada. La compañía fue fundada en 1887 y tiene su sede en Richmond, Indiana."
126,VERDE,KOTAKBANK.NS,Yahoo Finance,167.3,2268.8,2115.6,7.24,India,-2.47,18.803019,2.6415355,0.15394,0.02686,,,,0.09,0.422,"Kotak Mahindra Bank Limited proporciona una gama de servicios bancarios y financieros a clientes corporativos e individuales en la India. Opera a través del Tesoro, BMU y Centro Corporativo; Banca minorista; Banca corporativa / mayorista; Banca digital; Otras bancas minoristas; Financiación de vehículos; Otras actividades de préstamo; Corretaje; Servicios de asesoramiento y transaccional; Gestión de activos; y segmentos de seguros. La compañía ofrece cuentas de ahorro, actuales y salariales; Productos fijos, recurrentes, de ahorro de impuestos, personas mayores y de depósito fijo; hogar, personal, negocio, día de pago, oro, educación, vehículos comerciales, automóviles y préstamos de cultivos, así como préstamos contra valores y propiedades; Equipos de construcción, equipos agrícolas, atención médica, cadena comercial y de suministro, y soluciones financieras de capital de trabajo; y tarjetas prepagas, de crédito y débito. También proporciona productos de inversión; vida, término, salud, automóvil y dos ruedas de ruedas; servicios de pago; servicios comerciales; Gestión y marketing empresarial, planificación de recursos empresariales, cadena de suministro y logística, recursos humanos, viajes de negocios, gestión del espacio de trabajo, impuestos y servicios legales, y atención médica/equipos médicos; Servicios de gestión de efectivo, como pagos digitales, colecciones físicas, colecciones digitales y pasarelas de pago; servicios bancarios privados; banca neta; y servicios NRI. Kotak Mahindra Bank Limited se incorporó en 1985 y tiene su sede en Mumbai, India."
24,VERDE,ABEV3.SA,Yahoo Finance,3.24,19.17,14.25,34.55,Brazil,-78.3,15.65934,2.358881,0.16239999,0.099980004,8.22,3.371,7.578,6.48,0.423,"Ambev S.A., a través de sus subsidiarias, se involucra en la producción, distribución y venta de cerveza, cerveza de barril, refrescos carbonatados, malta y alimentos, otras bebidas alcohólicas y productos no alcohólicos y no carbonatados en Brasil, América Central y Caribe, América Latina Sur y Canadá. Ofrece cerveza principalmente debajo de Skol, Brahma, Antártica, Brahva, Budweiser, Bud Light, Beck, Leffe, Hoegaarden, Balboa Ice, Balboa, Atlas Golden Light, Atlas, Bucanero, Cristal, Mayabe, Presidente, Presidente Light, Brahma Light, Bohemia, The One, One, Corona, Modelo, Sta Special, Statesial, St. STYLEIS, QUESTA, QUEST Clásica, Paceña, Taquiña, Huari, Becker, Cusqueña, Michelob Ultra, Busch, Pilsen, Ouro Fino, Bud 66, Banks, Diputy, Patricia, Labatt Blue, Alexander Keith's y Kokanee Brands. The company also provides carbonated soft drinks, bottled water, isotonic beverages, energy drinks, coconut water, powdered and natural juices, and ready-to-drink teas under the Guaraná Antarctica, Gatorade, H2OH!, Pepsi Black, Lipton Iced Tea, Fusion, Pepsi-Cola, Canada Dry, Squirt, Red Rock, Red Bull, Seven Up, Nutrl, Bud Light Seltzer, Palm Bay, and Mike's marcas. Ofrece sus productos a través de una red de distribuidores de terceros y un sistema de distribución directa. La compañía fue fundada en 1885 y tiene su sede en São Paulo, Brasil. Ambev S.A. es una subsidiaria de Interbrew International B.V."
127,VERDE,LT.NS,Yahoo Finance,357.98,3947.3,3567,10.66,India,3.58,89.4393,5.030969,0.15782,0.04595,3.18,114.735,18.82,0.95,0.423,"Larsen & Toubro Limited se involucra en operaciones de ingeniería, construcción y fabricación en India e internacionalmente. El segmento de proyectos de infraestructura participa en la ingeniería y construcción de edificios y fábricas, infraestructura de transporte, infraestructura civil pesada, transmisión y distribución de energía, tratamiento de agua y efluentes, y minerales y metales. El segmento de Proyectos de Energía proporciona servicios de diseño frontal, fabricación modular, adquisiciones, gestión de proyectos, construcción, instalación y servicios de puesta en marcha para la industria del petróleo y el gas; Plantas de energía térmica a base de carbón y basadas en el gas, incluidos equipos de generación de energía con sistemas asociados y paquetes de equilibrio de la planta; y soluciones de ingeniería, adquisición y construcción en el espacio de energía verde. El segmento de fabricación de alta tecnología diseña, fabricar/construir, suministros y renovaciones/modernizaciones diseñó equipos y sistemas críticos para las plantas de proceso, la energía nuclear y los sectores de hidrógeno verde; plataformas marinas y terrestres, y equipos y sistemas relacionados, así como productos y sistemas aeroespaciales, y productos y sistemas de precisión y electrónica para los sectores de defensa, seguridad, espacio e industrial y industriales; y electrolisers. El segmento de servicios de TI y tecnología ofrece tecnología de la información y servicios integrados de ingeniería, plataformas electrónicas/plataformas digitales y centros de datos, y soluciones de diseño de chips de semiconductores. El segmento de servicios financieros proporciona servicios de financiamiento minorista y mayorista. El segmento de proyectos de desarrollo desarrolla, opera y mantiene proyectos de infraestructura; y se dedica a la cobro de peaje y tarifas, así como actividades de generación y desarrollo de energía. El segmento de otros fabrica y vende válvulas industriales y maquinaria de procesamiento de caucho; fabricación, mercados y servicios equipos y piezas de construcción; y mercados y servicios maquinaria minera y piezas. Larsen & Toubro Limited fue fundada en 1938 y tiene su sede en Mumbai, India."
55,VERDE,SECURITY.SN,Yahoo Finance,61.46,273.99,273.64,0.13,Chile,-0.96,6.9722652,0.99470955,0.14498,0.010140001,,,,8.22,0.425,"Grupo Security S.A., una compañía financiera diversificada, ofrece banca comercial y minorista, seguros, factorización, gestión de activos y otros productos y servicios a compañías grandes y medianas, y personas de altos ingresos en Chile. La compañía ofrece servicios de financiación a empresas e individuos; y servicios de factorización y corretaje de valores. También proporciona inversión, gestión de activos y patrimonio, y servicios de administración de fondos generales; Servicios de corretaje e intermediación; servicios de titulización; seguro de vida y anualidades; Servicios de corretaje de seguros; Servicios de agencia de viajes y turismo; y servicios de apoyo comercial. Además, la compañía se dedica a bienes raíces e hipotecas, seguridad internacional y viajes. Grupo Security S.A. se conocía anteriormente como Security Holdings S.A. y cambió su nombre a Grupo Security S.A. en octubre de 1997. La compañía se incorporó en 1991 y tiene su sede en Santiago, Chile. Grupo Security S.A. opera como una subsidiaria de Bicecorp S.A."
